group,desc_no_stopword
0,login issue verified user detail employee manager checked user ad reset password advised user login check caller confirmed able login issue resolved
0,outlook received team meeting skype meeting not appearing outlook calendar somebody advise correct kind
0,cant log vpn received not log vpn best
0,unable access hr tool page unable access hr tool page
0,skype error skype error
0,unable log engineering tool skype unable log engineering tool skype
8,event critical hostname value mountpoint threshold oracle sid erpdata event critical hostname value mountpoint threshold oracle sid erpdata srpsad perpsrpsad
0,ticket employment status new non employee enter user ticket employment status new non employee enter user
0,unable disable add in outlook unable disable add in outlook
0,ticket update inplant ticket update inplant
0,engineering tool say not connected unable submit report engineering tool say not connected unable submit report
0,hr tool site not loading page correctly hr tool site not loading page correctly
0,unable login hr tool sgxqsuojr xwbesorf card unable login hr tool sgxqsuojr xwbesorf card
0,user want reset password user want reset password
0,unable open payslip unable open payslip
0,ticket update inplant ticket update inplant
0,unable login company vpn received unable login company vpn website trying open new session link not able pls help urgently working home tomorrow month end closing
12,undocking pc screen not come undocking pc screen not come
0,erp sid account locked erp sid account locked
0,unable sign vpn unable sign vpn
0,unable check payslip unable check payslip
0,vpn issue received helpdesk not able connect vpn home office couple f hour ago connected not working anymore getting message session expired click link happens cid need help dynamic crm click chat live agent dynamic crm question click best
0,unable connect vpn unable connect vpn
0,user called vendor phone number user called vendor phone number
0,vpn not working received not able connect company network vpn pls check not able upload result company network
0,erp sid password reset erp sid password reset
0,unable login hr tool check payslip unable login hr tool check payslip
0,account locked account locked
0,unable login hr tool unable login hr tool
0,unable log erp sid unable log erp sid
0,password reset collaboration platform password reset collaboration platform
0,reset user reset user password client id username xyz
0,duplication network address received gentles device trying share ip address trying share printer hostname prtjc new display erp display dhcp address assigned printer hard coded guess address not set static address dhcp need corrected display pick address
0,es password reset es password reset
0,unable install flash player unable install flash player
0,ticket employment status new non employee ticket employment status new non employee
0,erp sid account unlock password reset erp sid account unlock password reset
0,unable resolve ticket assigned self status button dierppearing second
0,installing engineering tool need install engineering tool pc
0,ecwtrjnq jpecxuty ecwtrjnq jpecxuty
0,ticket update inplant ticket update inplant
0,tablet sound not working tablet sound not working
0,unable login unable login
8,reroute job printer printer issue need resolved today received printer printer not working need replaced reroute job queue printer printer wihuyjdo qpogfwkb indicated prqos need new not deliver day inwarehouse tool need print printer need taken care today inwarehouse tool printed picked outside vendor pm usa daily basis contact dkmcfreg anwmfvlgenkataramdntyana question job queue today
0,unable login hr tool etime unable login hr tool etime
0,not log hr tool etime single sign portal not log hr tool etime single sign portal
0,password changed password management tool didnt update erp account password changed password management tool didnt update erp account
8,job job failed job scheduler received monitoring job job failed job scheduler
0,window password change password management tool window password change password management tool
0,status not change telephony software closing agent keep acd status
8,job mm zscr dly merktc failed job scheduler received monitoring job mm zscr dly merktc failed job scheduler
0,vip need password management tool password manager password reset need password management tool password manager password reset
0,reset scm software password received reset scm software password cdbaoqts wqbsodni global product manager markhtyeting initiative
0,account locked office account kept locking possible reason companysecure mobile device email setup incorrect password stored window network password not match
0,skype meeting received good morning reset password lost option setting skype meeting help ca recall able bring time
0,enquiry impact reward enquiry impact reward password reset
8,need dn material plant plant pc thanks need dn material plant plant pc
0,unlock logon password received help unlock company net log password urgent
8,job mm zscr dly merktc failed job scheduler received monitoring job mm zscr dly merktc failed job scheduler
8,job job failed job scheduler received monitoring job job failed job scheduler
0,password changed required user abc password changed required user abc
0,issue outlook received cid best
8,urgent create dlv help try create dlv mm sto sto sto plant plant
8,apac company switch et apac company switch et company ap chn apac company access sw company ap chn apac company access sw
0,error login sid error login sid verified user detail employee manager user tried password management tool pwd manager unlocked erp id caller confirmed able login issue resolved
0,delivery note ca post good issue d n plant plant plant issue display ekpo ekpo ekpo kzbws ekpo kzvbr e note not supported check entry
8,job job failed job scheduler received monitoring job job failed job scheduler
8,job job failed job scheduler received monitoring job job failed job scheduler
8,job job failed job scheduler received monitoring job job failed job scheduler
8,job job failed job scheduler received monitoring job job failed job scheduler
0,user locked user xyz received team kindly release locked user xyz user fbmugzrl ahyiuqev
0,dell laptop speaker not working requires urgent help laptop speaker not working requires urgent help
0,user need help connect wireless connection home user need help connect wireless connection home user connect lan home connected user teamviewer checked network setting help user login home wireless disconnected home lan user confirmed able login home wireless issue resolved
0,ticket update ticket update
8,job hr payroll na u failed job scheduler received monitoring job hr payroll na u failed job scheduler
8,job hr payroll na u failed job scheduler received monitoring job hr payroll na u failed job scheduler
